index,year,month,ttl,desc,news
1,2014,10,勉強会第1回開催,"<h3>ディープラーニングの概要</h3>
<ul>
  <li>ディープラーニングができるまで</li>
  <li>ディープラーニングができること</li>
  <li>ディープラーニングの可能性</li>
</ul>",<ul><li>2014年1月: GoogleがDeepMindを買収。</li></ul>
2,2015,9,WBAIハッカソン,"<h3>主催</h3>
<p>NPO 全脳アーキテクチャー・イニシアティブ（WBAI）</p>
<p>全脳アーキテクチャ若手の会</p>
<h3>協賛</h3>
<p>産総研人工知能研究センター，電通大，アルパカ</p>
<h3>後援</h3>
<p>ドワンゴ人工知能研究所，ドワンゴ</p>",
3,2015,12,第1回 WBA若手の会 女子会,"<ul>
  <li>理工系の学生やエンジニア・研究者の方など計8名が参加</li>
  <li>WBA若手に携わっていたり興味がある方々の共通の話題を持つ女子が集合</li>
  <li>普段使っているプログラミング言語の話や研究の話や若手の会のメンバーの話など</li>
</ul>",<ul><li>2015年12月: OpenAIが設立される。</li></ul>
4,2016,1,2016 WBA若手の会 新年会,,
5,2016,4,2016 WBA若手の会 春の交流会,,<ul><li>2016年3月: AlphaGoが韓国のプロ囲碁棋士イ・セドルに勝利。</li></ul>
6,2017,5,人工知能 + 認知科学 + 神経科学 異分野交流会,"<p>人工知能を作る為に、多様な人材の交流が必要だと考えられます。</p>
<p>異分野交流会は、様々な分野の多様な人材に全脳アーキテクチャ・人工知能周辺技術が面白いという事を伝え、全脳アーキテクチャ若手の会の取り組みを多くの人に知ってもらい若手の会の裾野を広げる事を目的として行われました。</p>",<ul><li>2017年5月: AlphaGoが中国のトップ棋士柯潔に勝利。</li></ul>
7,2017,8,夏の交流会 with HAIT,<p>東大の人工知能団体HAITとのコラボレーション企画。</p>,
8,2017,10,関西異分野交流会,<p>「ヒトの理解」という難題に対して特定の分野のバックグラウンドを持つ若手が一堂に会し登壇。</p>,
9,2017,11,ミニドラハッカソン,<p>ドラえもんのように、まるで人のように扱ってもらえるロボットの実現の第一歩として「ミニドラ」を作るハッカソン。</p>,<ul><li>2017年12月: AlphaZeroが登場し、わずか数時間の自己学習でチェス、将棋、囲碁でトップレベルのプレイを達成。</li></ul>
10,2018,5,2018 WBA若手の会 春の交流会,,<ul><li>2018年5月: Google Duplexが発表され、自然な対話で電話予約が可能なことをデモンストレーション。</li></ul>
11,2018,11,2018 WBA若手の会 秋の大交流会,,<ul><li>2018年10月: BERT（Bidirectional Encoder Representations from Transformers）がGoogleによって発表。</li></ul>
12,2020,3,AIとコトバ ~自然言語処理のこれまでとこれから~,"<p>自然言語処理に関する様々のトピックのトークを行いました。</p>
<p>諸般の事情によりオンライン開催となりましたが、常時40人、のべ60人程度の方に参加いただきました。</p>","<ul>
  <li>2021年2月: OpenAIがDALL-Eを発表し、自然言語の説明から画像を生成する能力を示す。</li>
  <li>2021年6月: GitHub Copilotが発表され、プログラミング支援AIとして注目される。</li>
</ul>"
13,2020,6,勉強会 第46回開催,"<p>「ポストCOVID-19時代を生き抜くためのテクノロジー」というトークテーマで4名の登壇者にオンラインで発表していただきました。</p>
<p>カジュアルトーク初のオンライン開催にもかかわらず18名の方に視聴していただき、質疑応答では視聴者の方からチャット機能より質問をいただき活発な議論となりました。</p>","<ul>
  <li>2023年3月: OpenAIがGPT-4をリリースし、さらに高い自然言語理解能力を示す。</li>
  <li>2024年4月: MetaがLlama 3を発表し、オープンソースAIモデルの競争が激化。</li>
</ul>